residue,residue_ID,name,anomer,absolute,ring,parent_id,site,shape,color,pubChem,comment
N-glycan_a-D-Neup5Ac_34,N34,Neu5Ac,a,D,p,N8,3,diamond,#A54399,Neu5Ac
N-glycan_b-D-GlcpNAc_75,N75,GlcNAc,b,D,p,N8,3,square,#0090BC,GlcNAc
N-glycan_b-D-GalpNAc_107,N107,GalNAc,b,D,p,N3,4,square,#FFD400,GalNAc
N-glycan_b-D-GlcpNAc_87,N87,GlcNAc,b,D,p,N1,3,square,#0090BC,GlcNAc
N-glycan_a-D-Neup5Gc_126,N126,Neu5Gc,a,D,p,N10,6,diamond,#8FCCE9,Neu5Gc
N-glycan_a-L-Fucp_102,N102,Fuc,a,L,p,N44,2,triangle,#ED1C24,Fuc
N-glycan_a-D-Neup5Gc_128,N128,Neu5Gc,a,D,p,N29,6,diamond,#8FCCE9,Neu5Gc
N-glycan_b-D-Galp_88,N88,Gal,b,D,p,N87,4,circle,#FFD400,Gal
N-glycan_b-D-Galp_80,N80,Gal,b,D,p,N75,4,circle,#FFD400,Gal
N-glycan_b-D-Galp_6,N6,Gal,b,D,p,N5,4,circle,#FFD400,Gal
N-glycan_a-D-Neup5Ac_46,N46,Neu5Ac,a,D,p,N32,3,diamond,#A54399,Neu5Ac
N-glycan_a-D-GlcpNAc_A,NA0,GlcNAc,a,D,p,no_id,0,square,#0090BC,GlcNAc
N-glycan_b-D-Galp_37,N37,Gal,b,D,p,N36,4,circle,#FFD400,Gal
N-glycan_a-L-Fucp_119,N119,Fuc,a,L,p,N5,4,triangle,#ED1C24,Fuc
N-glycan_a-D-Neup5Gc_55,N55,Neu5Gc,a,D,p,N6,3,diamond,#8FCCE9,Neu5Gc
N-glycan_b-D-Galp_151,N151,Gal,b,D,p,N150,4,circle,#FFD400,Gal
N-glycan_b-D-GlcpNAc_59,N59,GlcNAc,b,D,p,N6,3,square,#0090BC,GlcNAc
N-glycan_a-D-Neup5Ac_100,N100,Neu5Ac,a,D,p,N63,6,diamond,#A54399,Neu5Ac
N-glycan_b-D-GalpNAc_108,N108,GalNAc,b,D,p,N6,4,square,#FFD400,GalNAc
N-glycan_b-D-GalpNAc_82,N82,GalNAc,b,D,p,N8,4,square,#FFD400,GalNAc
N-glycan_a-D-KDN_131,N131,KDN,a,D,,N8,6,diamond,#00A651,Kdn
N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,square,#0090BC,GlcNAc
N-glycan_a-D-Neup5Gc_132,N132,Neu5Gc,a,D,p,N60,3,diamond,#8FCCE9,Neu5Gc
N-glycan_a-D-Neup5Ac_14,N14,Neu5Ac,a,D,p,N8,6,diamond,#A54399,Neu5Ac
N-glycan_a-D-Manp_22,N22,Man,a,D,p,N21,2,circle,#00A651,Man
N-glycan_a-D-Neup5Ac_96,N96,Neu5Ac,a,D,p,N74,6,diamond,#A54399,Neu5Ac
